Agent1,Agent2,Steps
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,5
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,5
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,5
0.0,0.0,9
1.0,-1.0,5
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,5
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
0.0,0.0,9
1.0,-1.0,5
1.0,-1.0,7
0.0,0.0,9
1.0,-1.0,7
0.0,0.0,9
